Address,Latitude,Longitude
"169 Exhibition St, Melbourne, Victoria 3000 Australia",-37.811624,144.970126
"362 Little Bourke St, Melbourne, Victoria 3000 Australia",-37.8133941,144.9618471
"22 Duckboard Pl, Melbourne, Victoria 3000 Australia",-37.8157916,144.9713041
"271 Bay St, Melbourne, Victoria 3207 Australia",-37.8402429,144.9408908
"129-131 Acland St, St Kilda, Port Phillip, Victoria 3182 Australia",-37.8691544,144.9803056
"109 Elgin St, Melbourne, Victoria 3053 Australia",-37.7977,144.971073
"24 Centre Pl, Melbourne, Victoria 3000 Australia",-37.8164149,144.9654376
"Queen St, Melbourne, Victoria 3000 Australia",-37.8075659,144.9579251
"197 Gertrude St, Fitzroy, Yarra, Victoria 3065 Australia",-37.8060231,144.9811507
"338 Bridge Rd, Richmond, Yarra, Victoria 3121 Australia",-37.81903827307692,145.00258908461538
"144 Bridport St, Melbourne, Victoria 3206 Australia",-37.840618,144.95529565770323
"168 Greville Street, Prahran, Stonnington, Victoria 3181 Australia",-37.8484987,144.9854695
"Flinders Walk, Melbourne, Victoria 3000 Australia",-37.8188703,144.9677921
"189 Gertrude St, Fitzroy, Yarra, Victoria 3065 Australia",-37.805994,144.98093
"6 Riverside Quay, Melbourne, Victoria 3006 Australia",-37.8210499,144.9637982
"195 Lonsdale St, Melbourne, Victoria 3000 Australia",-37.8112024,144.9666038
"25 Collins St, Melbourne, Victoria 3000 Australia",-37.74126605,144.8020260210052
"159-161 Victoria Ave Melbourne, Albert Park, Port Phillip, Victoria 3206 Australia",-37.8467275,144.94953169692735
"74 Glen Eira Rd, Ripponlea, Port Phillip, Victoria 3185 Australia",-37.8769586,144.9973257
"103-107 Errol St, Melbourne, Victoria 3051 Australia",-37.8024964,144.9495169
"175 Domain Rd, Melbourne, Victoria 3141 Australia",-37.8341965,144.9819812
"179 Swan St, Richmond, Yarra, Victoria 3121 Australia",-37.82595449117647,145.00131340294118
"47 Little Bourke St, Melbourne, Victoria 3000 Australia",-37.8109424,144.9711741
"145 Fitzroy St, St Kilda, Port Phillip, Victoria 3182 Australia",-37.8620084,144.9737334
"107 Little Bourke St, Melbourne, Victoria 3000 Australia",-37.81357666935484,144.96190847043013
"37 Little Collins St, Melbourne, Victoria 3000 Australia",-37.8126385,144.9724818
"61 A'Beckett St, Melbourne, Victoria 3000 Australia",-37.8086441,144.9628946
"11-25 Crossley St, Melbourne, Victoria 3000 Australia",-37.8117601,144.9712728
"5 Riverside Qy Southbank, Melbourne, Victoria 3006 Australia",-37.8214816,144.9644575
"71 Beach St, Melbourne, Victoria 3207 Australia",-37.8417691,144.9361791
"97 Elizabeth St, Melbourne, Victoria 3000 Australia",-37.735007228571426,144.98278488571427
"222 Exhibition St, Melbourne, Victoria 3000 Australia",-37.81065085,144.9703775404788
"285-287 Coventry St, Melbourne, Victoria 3205 Australia",-37.8326131,144.9581853
"52 Toorak Rd West, South Yarra, Victoria 3141 Australia",-37.8379716,144.9835874
"234 Esplanade, Brighton, Bayside, Victoria 3186 Australia",-37.9252817,144.9871713
"511 Malvern Rd, Toorak, Stonnington, Victoria 3142 Australia",-37.8481263,145.0034887
"184 Collins St, Melbourne, Victoria 3000 Australia",-37.815058,144.967541
"304 Brunswick Street, Melbourne, Victoria Fitzroy Australia",-37.7980678,144.9786893
"182 Brunswick St, Fitzroy, Yarra, Victoria 3065 Australia",-37.8021549,144.9779347
"103 Lonsdale St, Melbourne, Victoria 3000 Australia",-37.8151232,144.9525633
"716 Centre Rd, Bentleigh, Glen Eira, Victoria 3165 Australia",-37.92122025,145.05795265158065
"173 Chapel St, Windsor, Stonnington, Victoria 3181 Australia",-37.857356,144.99234
"74 Bourke St, Melbourne, Victoria 3000 Australia",-37.81187514897959,144.97075799795917
"470 Bridge Rd, Richmond, Yarra, Victoria 3121 Australia",-37.8195223,145.0071854
"16 Oliver Lane, Melbourne, Victoria 3000 Australia",-37.8161924,144.9701951
"189 Collins St, Melbourne, Victoria 3000 Australia",-37.8174085,144.9596878
"33 Guildford Lane, Melbourne, Victoria 3000 Australia",-37.8113803,144.9597365
"129 Church Street, Brighton, Bayside, Victoria 3186 Australia",-37.9201953,145.0015244
"359 Little Bourke St Cbd, Melbourne, Victoria 3000 Australia",-37.813458,144.962242
"250 Flinders Ln, Melbourne, Victoria 3000 Australia",-37.8169169,144.9654324
"12 World Trade Centre, Melbourne, Victoria 3005 Australia",-37.8231818,144.9535051
"181-183 Lygon Street, Melbourne, Victoria Australia",-37.7779213,144.970839
"99 Spring St, Melbourne, Victoria 3000 Australia",-37.72885542,145.0005483
"8-10 Centre Pl, Melbourne, Victoria 3000 Australia",-37.8164149,144.9654376
"407D St Kilda Rd, Melbourne, Victoria 3004 Australia",-37.83632,144.976226
"33 Block Place, Melbourne, Victoria 3000 Australia",-37.8150816,144.9642459
"581 Chapel St South Yarra, Melbourne, Victoria 3141 Australia",-37.8401905,144.99522158027526
"314 Little Collins St, Melbourne, Victoria 3000 Australia",-37.8149832,144.9642323
"Docklands Melbourne, Melbourne, Victoria 3008 Australia",-37.8175423,144.9394923
"108 Lygon St, Melbourne, Victoria 3053 Australia",-37.8044218,144.9664962
"172-174 Faraday Street Carlton, Melbourne, Victoria Australia",-37.7986312,144.9686154
"22 Margaret St, Moonee Ponds, Moonee Valley, Victoria 3039 Australia",-37.765872,144.9196726
"221 Queen St, Melbourne, Victoria 3000 Australia",-37.8075659,144.9579251
"61 Flinders Lane, Melbourne, Victoria 3000 Australia",-37.8169169,144.9654324
"109 Cotham Rd, Kew, Boroondara, Victoria 3101 Australia",-37.807703,145.0387374
"268 Toorak Rd, South Yarra, Victoria 3141 Australia",-37.839663,144.996381
"41 Hall St, Moonee Ponds, Moonee Valley, Victoria 3039 Australia",-37.7661223,144.9217318
"125 Flinders Lane, Melbourne, Victoria 3000 Australia",-37.8155839,144.9703425
"94 Acland St, St Kilda, Port Phillip, Victoria 3182 Australia",-37.8677361,144.9791344
"322 Little Collins St, Melbourne, Victoria 3000 Australia",-37.8126385,144.9724818
"115 Bay St, Melbourne, Victoria 3207 Australia",-37.8403471,144.940449
"130 Acland St, Melbourne, Victoria 3182 Australia",-37.8685318,144.979892
"159 Spring St, Melbourne, Victoria 3000 Australia",-37.72442393144634,145.00139010827263
"79 Hardware Lane Melbourne CBD, Melbourne, Victoria 3000 Australia",-37.8145652,144.9616725
"213 Barkly St, St Kilda, Port Phillip, Victoria 3182 Australia",-37.8603685,144.9824689
"256 Swan St, Richmond, Yarra, Victoria 3121 Australia",-37.8248938,144.9910501
"141 Flinders Lane, Melbourne, Victoria 3000 Australia",-37.815795800000004,144.96988599370349
"15-17 Weston St, Brunswick, Moreland, Victoria 3056 Australia",-37.7747411,144.9609709
"123 Collins St, Melbourne, Victoria 3000 Australia",-37.8154302,144.9698391
"408 Bourke St, Melbourne, Victoria 3000 Australia",-37.814528,144.961567
"163A Sydney Rd, Brunswick, Moreland, Victoria 3056 Australia",-37.773395750000006,144.9607751945979
"309-325 Bourke St, Melbourne, Victoria 3000 Australia",-37.81362863548387,144.96172737634407
"45 Flinders La, Melbourne, Victoria 3000 Australia",-37.8148501,144.9730541
"18-20 Bank Pl, Melbourne, Victoria 3000 Australia",-37.8164132,144.960319
"326 Lygon St Carlton, Melbourne, Victoria 3053 Australia",-37.7993126,144.9673738
"365 Little Collins St, Melbourne, Victoria 3000 Australia",-37.8155987,144.962708
"130 Lygon St Carlton, Melbourne, Victoria 3053 Australia",-37.8040591,144.9665336
"95 Toorak Rd South Yarra, Melbourne, Victoria 3141 Australia",-37.8401608,145.0012006
"462 Elizabeth St, Melbourne, Victoria 3000 Australia",-37.807831182608695,144.9604471
"22 Katherine Pl, Melbourne, Victoria 3000 Australia",-37.8198762,144.9565119
"20-22 McKillop St, Melbourne, Victoria 3000 Australia",-37.8151769,144.9618234
"122 Highfield Rd, Camberwell, Victoria 3124 Australia",-37.8343495,145.085049
"295 Drummond St, Melbourne, Victoria 3053 Australia",-37.7989641,144.9685283
"2 Convention Centre Pl South Wharf, Melbourne, Victoria 3006 Australia",-37.8249407,144.9494246
"353 Little Collins St, Melbourne, Victoria 3000 Australia",-37.8157451,144.9630281
"198 Little Lonsdale St, Melbourne, Victoria 3000 Australia",-37.809894,144.9665964
"320 Lygon St Carlton, Melbourne, Victoria 3053 Australia",-37.79952795,144.9675200365607
"40 Jacka Boulevard, St Kilda, Port Phillip, Victoria 3182 Australia",-37.8629023,144.9722308
"247 Flinders Lane, Melbourne, Victoria 3000 Australia",-37.81699315,144.96617859831798
"269 Swanston St, Melbourne, Victoria 3000 Australia",-37.8119674,144.964692
"1 Malthouse Lane, Melbourne, Victoria 3000 Australia",-37.8157957,144.9715873
"97 Toorak Rd, Melbourne, Victoria 3141 Australia",-37.8389465,144.9913174
"94-96 Bourke St, Melbourne, Victoria 3000 Australia",-37.811917,144.970217
"7-9 Centre Pl, Melbourne, Victoria 3000 Australia",-37.8164149,144.9654376
"122 Russell St, Melbourne, Victoria 3000 Australia",-37.8134701,144.9686023
"131 Lonsdale St, Melbourne, Victoria 3000 Australia",-37.8151232,144.9525633
"650 Mt Alexander Rd, Moonee Ponds, Moonee Valley, Victoria 3039 Australia",-37.7721512,144.9266666
"243 High St, Northcote, Victoria 3070 Australia",-37.7732465,144.9980758
"209 Camberwell Road, Camberwell, Victoria 3124 Australia",-37.8425084,145.0694574
"155 Fitzroy St, St Kilda, Port Phillip, Victoria 3182 Australia",-37.8589287,144.9792505
"238A Flinders St, Melbourne, Victoria 3000 Australia",-37.8174473,144.967236
"17 Market Lane, Melbourne, Victoria 3000 Australia",-37.811867,144.969217
"31 Flinders Lane, Melbourne, Victoria 3000 Australia",-37.8147498,144.9732022
"11 Toorak Rd South Yarra, Melbourne, Victoria 3141 Australia",-37.8381528,144.9869833
"9 Evans Place, Hawthorn East, Melbourne, Victoria 3123 Australia",-37.8301533,145.0554946
"9 Carlisle St, St Kilda, Port Phillip, Victoria 3182 Australia",-37.8669502,144.9783605
"245 Collins St, Melbourne, Victoria 3000 Australia",-37.8158768,144.9657264
"101 Flinders Lane, Melbourne, Victoria 3000 Australia",-37.8153755,144.971045
"65 George St, Melbourne, Victoria 3002 Australia",-37.81572955,144.98816361391076
"78A Wellington Pde, Melbourne, Victoria 3002 Australia",-37.8163531,144.98743284073532
"33 Russell St, Melbourne, Victoria 3000 Australia",-37.8158796,144.9693073
"10 Russell Pl, Melbourne, Victoria 3000 Australia",-37.8138376,144.9674924
"27-29 Crossley St, Melbourne, Victoria 3000 Australia",-37.811159,144.9709703
"139 Little Bourke St, Melbourne, Victoria 3000 Australia",-37.811677,144.968412
"139 Swanston St, Melbourne, Victoria 3000 Australia",-37.8144005,144.9657961
"87 Bourke St, Melbourne, Victoria 3000 Australia",-37.812124,144.970916
"68 - 78 Hardware Lane, Melbourne, Victoria 3000 Australia",-37.8145652,144.9616725
"15 Degraves St, Melbourne, Victoria 3000 Australia",-37.53145964545455,144.90819252727272
"845/847 High St, Thornbury, Darebin, Victoria 3071 Australia",-37.75500965,145.0009023527985
"80 Bourke St, Melbourne, Victoria 3000 Australia",-37.8117868,144.9708939
"168 Russell St, Melbourne, Victoria 3000 Australia",-37.812081549999995,144.96797162142857
"140 Rouse St Port Melbourne, Melbourne, Victoria 3207 Australia",-37.8421333,144.939829
"85 Hardware Lane, Melbourne, Victoria 3000 Australia",-37.8129616,144.9607886
"98 Chapel St, Windsor, Stonnington, Victoria 3181 Australia",-37.857356,144.99234
"650 Little Bourke St, Melbourne, Victoria 3000 Australia",-37.8157716,144.9536531
"35 Little Bourke St, Melbourne, Victoria 3000 Australia",-37.8107242,144.9716776
"9 Errol St, Melbourne, Victoria 3051 Australia",-37.8047581,144.9490968
"71 Bouverie St Carlton, Melbourne, Victoria 3053 Australia",-37.8047561,144.9614974
"329-331 Bay St, Melbourne, Victoria 3207 Australia",-37.8402429,144.9408908
"14-16 Market Lane, Melbourne, Victoria 3000 Australia",-37.8118714,144.9693954
"92 Smith St, Melbourne, Victoria 3066 Australia",-37.805621,144.983311
"116 Lygon Street, Carlton, Melbourne, Victoria 3053 Australia",-37.804343,144.96660220378396
"132 Wellington Pde, Melbourne, Victoria 3002 Australia",-37.8162493,144.9856524
"166 Lygon St Carlton, Melbourne, Victoria 3053 Australia",-37.8033049,144.9666943
"131 Church St, Brighton, Bayside, Victoria 3186 Australia",-37.9201953,145.0015244
"98 Bourke St, Melbourne, Victoria 3000 Australia",-37.812003,144.970078
"199 Gertrude St, Fitzroy, Yarra, Victoria 3065 Australia",-37.8060268,144.9812022
"Basement 118 Russell St, Melbourne, Victoria 3000 Australia",-37.8136078,144.9686931
"182 Collins St, Melbourne, Victoria 3000 Australia",-37.8146876,144.9674253
"32 Johnston St, Collingwood, Yarra, Victoria 3066 Australia",-37.7989828,144.9857781
"3-7 Ferguson St, Abbotsford, Yarra, Victoria 3067 Australia",-37.8093414,144.9924211
"169 Chapel St, Windsor, Stonnington, Victoria 3181 Australia",-37.857356,144.99234
"20 Centre Pl, Melbourne, Victoria 3000 Australia",-37.8164149,144.9654376
"121 Lygon St Carlton, Melbourne, Victoria 3053 Australia",-37.80414695,144.9660324396524
"396 Bridge Road, Richmond, Yarra, Victoria 3121 Australia",-37.81925638333333,145.00464634999997
"696 Mt Alexander Rd, Moonee Ponds, Moonee Valley, Victoria 3039 Australia",-37.7686731,144.9255698
"175 Flinders Lane, Melbourne, Victoria 3000 Australia",-37.8169169,144.9654324
"167 Lygon St, Melbourne, Victoria 3053 Australia",-37.8017966,144.9665445
"52 Collins St, Melbourne, Victoria 3000 Australia",-37.813648,144.971923
"39-41 Little Bourke St, Melbourne, Victoria 3000 Australia",-37.810791,144.971501
"8 Collins St, Melbourne, Victoria 3000 Australia",-37.81313025,144.97326280159984
"320 Rathdowne St Carlton, North, Melbourne, Victoria 3054 Australia",-37.7910853,144.9718262
"185 Acland St, St Kilda, Port Phillip, Victoria 3182 Australia",-37.8691544,144.9803056
"238 Lygon St, Melbourne, Victoria 3053 Australia",-37.8015614,144.9670454
"6-12 Pin Oak Cres Flemington, Melbourne, Victoria 3031 Australia",-37.78784065,144.92962347715275
"273 Cecil St, Melbourne, Victoria 3205 Australia",-37.8384573,144.9606059582777
"306 Little Collins St, Melbourne, Victoria 3000 Australia",-37.8149376,144.9644345
"51 Gipps St, Collingwood, Yarra, Victoria 3066 Australia",-37.8047478,144.9885659
"458 Little Collins St, Melbourne, Victoria 3000 Australia",-37.8126385,144.9724818
"24 Little Bourke St, Melbourne, Victoria 3000 Australia",-37.810524,144.9717049
"11-15 Duckboard Pl, Melbourne, Victoria 3000 Australia",-37.8156698,144.9714399
"1 Southbank Boulevard, Melbourne, Victoria 3006 Australia",-37.82115665,144.9623857607914
"445 High St, Prahran, Stonnington, Victoria 3181 Australia",-37.8542747,145.0114332
"41 Blessington St, St Kilda, Port Phillip, Victoria 3182 Australia",-37.8704051,144.980984
"32 Commercial Rd, Prahran, Stonnington, Victoria 3181 Australia",-37.8460961,144.9869036
"358 Victoria St, Melbourne, Victoria 3051 Australia",-37.8109577,145.0034545
"48 Burgundy St, Heidelberg, Banyule, Victoria 3084 Australia",-37.7563257,145.068666
"369 Little Collins St, Melbourne, Victoria 3000 Australia",-37.8126385,144.9724818
"432 Centre Rd, Bentleigh, Glen Eira, Victoria 3204 Australia",-37.9182065,145.0368355
"504 Hampton St, Hampton, Bayside, Victoria 3188 Australia",-37.9373551,145.0025359
"186 Exhibition St, Melbourne, Victoria 3000 Australia",-37.811201,144.9706806
"484 Albion St West Brunswick, Melbourne, Victoria Australia",-37.759279,144.9500847
